,page,id,title,title_score,coordinate,score
0,0,0,None,0.0,"(23, 0, 597, 808)",0.9787336587905884
1,0,1,None,0.0,"(28, 9, 597, 415)",0.8466198444366455
2,2,2,None,0.0,"(58, 384, 547, 595)",0.8839449286460876
3,3,3,None,0.0,"(55, 9, 564, 544)",0.9104164242744446
4,4,4,None,0.0,"(26, 175, 550, 799)",0.9734496474266052
5,5,5,None,0.0,"(51, 369, 595, 805)",0.8811439871788025
6,6,6,None,0.0,"(29, 11, 461, 788)",0.9254961013793945
7,7,7,None,0.0,"(30, 179, 562, 737)",0.9913278222084045
8,7,8,None,0.0,"(34, 256, 534, 466)",0.93906170129776
9,8,9,None,0.0,"(75, 231, 519, 717)",0.9946829676628113
10,9,10,雅来：家产品连数群。标三标配型本了正季数0,0.5729590058326721,"(57, 544, 456, 730)",0.9884457588195801
11,9,11,雅来：家产品连数群。标三标配型本了正季数0,0.5729590058326721,"(32, 173, 558, 737)",0.9257471561431885
12,9,12,雅来：家产品连数群。标三标配型本了正季数0,0.5729590058326721,"(38, 253, 476, 451)",0.9231431484222412
13,10,13,牌设部新装力量进,0.5139039754867554,"(57, 504, 469, 731)",0.9695897102355957
14,10,14,牌设部新装力量进,0.5139039754867554,"(41, 235, 558, 757)",0.9268624186515808
15,10,15,牌设部新装力量进,0.5139039754867554,"(73, 274, 560, 448)",0.8084913492202759
16,11,16,None,0.0,"(64, 544, 452, 729)",0.9865308403968811
17,11,17,意藏电动门把手配置是中国品牌提升科技感的杀手,0.9409839510917664,"(50, 419, 530, 731)",0.8374661803245544
18,12,18,多的用户对车辆使用的择控感和年,0.9069611430168152,"(61, 531, 481, 731)",0.9839297533035278
19,12,19,多的用户对车辆使用的择控感和年,0.9069611430168152,"(29, 207, 554, 454)",0.9546598792076111
20,12,20,多的用户对车辆使用的择控感和年,0.9069611430168152,"(38, 201, 564, 741)",0.9131256937980652
21,12,21,多的用户对车辆使用的择控感和年,0.9069611430168152,"(30, 270, 339, 445)",0.857539713382721
22,13,22,雅来：家产品连数群。标三标配型本了正型本数0,0.565586507320404,"(57, 533, 450, 732)",0.9936487078666687
23,13,23,雅来：家产品连数群。标三标配型本了正型本数0,0.565586507320404,"(32, 169, 557, 744)",0.9733685851097107
24,13,24,雅来：家产品连数群。标三标配型本了正型本数0,0.565586507320404,"(29, 205, 557, 470)",0.9120113253593445
25,13,25,雅来：家产品连数群。标三标配型本了正型本数0,0.565586507320404,"(30, 268, 331, 445)",0.870480477809906
26,14,26,后控制多媒体常见干商务车或者,0.8755939602851868,"(61, 532, 459, 733)",0.9819498658180237
27,14,27,后控制多媒体常见干商务车或者,0.8755939602851868,"(29, 257, 550, 458)",0.9641894102096558
28,14,28,后控制多媒体常见干商务车或者,0.8755939602851868,"(33, 168, 560, 749)",0.9559707641601562
29,15,29,据来源：汽车之索产品库数活。标配率三标配车型不数整体车型不数100,0.795626163482666,"(22, 260, 553, 450)",0.9835156798362732
30,15,30,据来源：汽车之索产品库数活。标配率三标配车型不数整体车型不数100,0.795626163482666,"(48, 533, 484, 734)",0.9777432680130005
31,15,31,据来源：汽车之索产品库数活。标配率三标配车型不数整体车型不数100,0.795626163482666,"(30, 191, 559, 707)",0.9650851488113403
32,16,32,雅来：家产品连数活。标三标配型本了正型本数0,0.561588704586029,"(47, 543, 458, 727)",0.9819266200065613
33,16,33,雅来：家产品连数活。标三标配型本了正型本数0,0.561588704586029,"(33, 153, 559, 764)",0.8604714274406433
34,16,34,雅来：家产品连数活。标三标配型本了正型本数0,0.561588704586029,"(73, 250, 556, 451)",0.8420871496200562
35,17,35,None,0.0,"(13, 165, 576, 791)",0.9774657487869263
36,17,36,None,0.0,"(55, 230, 280, 546)",0.9490156173706055
37,18,37,None,0.0,"(28, 25, 464, 749)",0.9734410643577576
38,19,38,None,0.0,"(42, 136, 546, 721)",0.9844713807106018
39,20,39,度，值越高关注度越高，越低关注度越,0.8863081932067871,"(45, 148, 549, 722)",0.9884482026100159
40,21,40,None,0.0,"(47, 337, 550, 719)",0.9848831295967102
41,21,41,None,0.0,"(43, 152, 542, 603)",0.9206938147544861
42,22,42,间的关注度最高，对中国品牌的来坐空,0.8713717460632324,"(47, 128, 546, 719)",0.9838823080062866
43,23,43,值越高关注度越高，越低关注度起,0.9539324641227722,"(51, 129, 558, 718)",0.9842220544815063
44,24,44,None,0.0,"(20, 48, 455, 653)",0.974292516708374
45,25,45,数据来：汽车之家调研鼓据。中国传统品牌：指不含中国新势力品牌（如理想、前案）的中国品牌,0.8256259560585022,"(47, 206, 544, 438)",0.9908112287521362
46,25,46,数据来：汽车之家调研鼓据。中国传统品牌：指不含中国新势力品牌（如理想、前案）的中国品牌,0.8256259560585022,"(47, 493, 543, 723)",0.9860671162605286
47,26,47,来看，低级别城市用户对海外主：,0.9413009881973267,"(90, 448, 539, 674)",0.9743679165840149
48,26,48,来看，低级别城市用户对海外主：,0.9413009881973267,"(90, 202, 540, 422)",0.9629828333854675
49,26,49,来看，低级别城市用户对海外主：,0.9413009881973267,"(62, 198, 538, 676)",0.956656277179718
50,27,50,None,0.0,"(48, 203, 542, 422)",0.987027645111084
51,27,51,None,0.0,"(48, 451, 543, 676)",0.9830530285835266
52,27,52,None,0.0,"(41, 204, 537, 677)",0.9754557013511658
53,28,53,从婚育情况来看，有子女,0.9654987454414368,"(34, 252, 549, 699)",0.975059449672699
54,28,54,从婚育情况来看，有子女,0.9654987454414368,"(52, 236, 549, 470)",0.9735157489776611
55,28,55,从婚育情况来看，有子女,0.9654987454414368,"(102, 459, 535, 697)",0.9247084259986877
56,29,56,从不同收入水平人群的喜好差异来看，收,0.8838201761245728,"(38, 236, 547, 710)",0.9672612547874451
57,29,57,从不同收入水平人群的喜好差异来看，收,0.8838201761245728,"(44, 238, 541, 469)",0.9544119238853455
